name,value,carbon_date,region
Maldives,2286000.0,2019,South Asia
Togo,2244000.0,2019,Africa
Macau,2012000.0,2019,East and Southeast Asia
Guam,1828000.0,2019,Australia and Oceania
South Sudan,1778000.0,2019,Africa
Chad,1771000.0,2019,Africa
Barbados,1703000.0,2019,Central America and the Caribbean
Fiji,1691000.0,2019,Australia and Oceania
Malawi,1542000.0,2019,Africa
Liberia,1346000.0,2019,Africa
Wake Island,1275000.0,2019,Australia and Oceania
Aruba,1254000.0,2019,Central America and the Caribbean
Eswatini,1224000.0,2019,Africa
Rwanda,1189000.0,2019,Africa
Seychelles,1156000.0,2019,Africa
French Polynesia,1030000.0,2019,Australia and Oceania
Cabo Verde,1002000.0,2019,Africa
Bhutan,934000.0,2019,South Asia
Sierra Leone,899000.0,2019,Africa
Somalia,882000.0,2019,Africa
Faroe Islands,870000.0,2019,Europe
Cayman Islands,808000.0,2019,Central America and the Caribbean
Eritrea,798000.0,2019,Africa
Bermuda,796000.0,2019,North America
Lesotho,736000.0,2019,Africa
Antigua and Barbuda,729000.0,2019,Central America and the Caribbean
Burundi,715000.0,2019,Africa
Saint Lucia,659000.0,2019,Central America and the Caribbean
Djibouti,610000.0,2019,Africa
"Gambia, The",606000.0,2019,Africa
Greenland,605000.0,2019,North America
Belize,541000.0,2019,Central America and the Caribbean
Timor-Leste,538000.0,2019,East and Southeast Asia
Jersey,450000.0,2012,Europe
American Samoa,355000.0,2019,Australia and Oceania
Samoa,355000.0,2019,Australia and Oceania
Guinea-Bissau,342000.0,2019,Africa
Solomon Islands,333000.0,2019,Australia and Oceania
Comoros,326000.0,2019,Africa
Grenada,316000.0,2019,Central America and the Caribbean
Marshall Islands,293700.0,2017,Australia and Oceania
Central African Republic,285000.0,2019,Africa
Saint Kitts and Nevis,268000.0,2019,Central America and the Caribbean
Turks and Caicos Islands,245000.0,2019,Central America and the Caribbean
Vanuatu,225000.0,2019,Australia and Oceania
Saint Vincent and the Grenadines,202000.0,2019,Central America and the Caribbean
Dominica,182000.0,2019,Central America and the Caribbean
"Micronesia, Federated States of",177000.0,2019,Australia and Oceania
British Virgin Islands,173000.0,2019,Central America and the Caribbean
Sao Tome and Principe,173000.0,2019,Africa
Tonga,171000.0,2019,Australia and Oceania
Cook Islands,114000.0,2019,Australia and Oceania
Saint Pierre and Miquelon,84000.0,2019,North America
Kiribati,76000.0,2019,Australia and Oceania
Nauru,66000.0,2019,Australia and Oceania
Falkland Islands (Islas Malvinas),46000.0,2019,South America
Montserrat,33000.0,2019,Central America and the Caribbean
Antarctica,28000.0,2019,Antarctica
"Saint Helena, Ascension, and Tristan da Cunha",13000.0,2019,Africa
Niue,8000.0,2019,Australia and Oceania
Northern Mariana Islands,0.0,2019,Australia and Oceania
Tuvalu,0.0,2019,Australia and Oceania
